bulbasaur,13,43,73,102,132,162,191,221,250,280,308,336,364,392,420,448,476,504,532,560,588,617,645,673,701,729,757,785,813,841,855,869,883,897,911
ivysaur,21,68,115,162,209,256,303,349,396,443,487,532,576,620,665,709,753,798,842,886,931,975,1019,1064,1108,1153,1197,1241,1286,1330,1352,1374,1396,1419,1441
venusaur,36,113,191,268,346,423,501,579,656,734,807,880,954,1027,1100,1174,1247,1320,1394,1467,1541,1614,1687,1761,1834,1908,1981,2054,2128,2201,2238,2275,2311,2348,2385
charmander,11,36,61,87,112,137,162,187,212,237,261,285,308,332,356,380,403,427,451,475,498,522,546,570,593,617,641,665,688,712,724,736,748,760,771
charmeleon,20,65,110,155,200,244,289,334,379,424,466,508,551,593,636,678,720,763,805,847,890,932,975,1017,1060,1102,1144,1187,1229,1272,1293,1314,1335,1356,1378
charizard,38,119,200,281,362,443,524,605,686,767,844,921,997,1074,1151,1228,1304,1381,1458,1535,1611,1688,1765,1842,1918,1995,2072,2149,2226,2302,2341,2379,2417,2456,2494
squirtle,11,35,60,84,109,133,157,182,206,231,254,277,300,323,346,369,392,415,439,462,485,508,531,554,577,600,623,646,670,693,704,716,727,739,750
wartortle,18,58,98,138,178,218,258,298,338,378,416,454,491,529,567,605,643,681,718,756,794,832,870,908,945,983,1021,1059,1097,1135,1154,1172,1191,1210,1229
blastoise,32,101,170,239,309,378,447,516,585,655,720,785,851,916,982,1047,1113,1178,1244,1309,1375,1440,1506,1571,1637,1702,1768,1833,1899,1964,1997,2030,2062,2095,2128
caterpie,10,17,29,41,53,64,76,88,100,112,123,134,146,157,168,179,190,202,213,224,235,247,258,269,280,292,303,314,325,336,342,348,353,359,365
metapod,10,18,31,43,56,69,81,94,107,119,131,143,155,167,179,191,203,215,227,239,251,263,275,287,299,311,323,335,347,359,365,371,377,383,389
butterfree,24,75,126,178,229,280,332,383,434,486,534,583,632,680,729,777,826,875,923,972,1020,1069,1118,1166,1215,1264,1312,1361,1410,1458,1482,1507,1531,1555,1580
weedle,10,17,29,41,53,65,77,89,101,113,124,136,147,158,170,181,192,204,215,227,238,249,261,272,283,295,306,317,329,340,346,351,357,363,368
kakuna,10,17,29,41,52,64,76,88,100,112,123,134,145,156,168,179,190,201,212,224,235,246,257,269,280,291,302,313,325,336,341,347,353,358,364
beedrill,25,78,132,186,239,293,347,400,454,508,558,609,660,711,761,812,863,914,964,1015,1066,1117,1168,1218,1269,1320,1371,1422,1472,1523,1549,1574,1599,1625,1650
pidgey,10,25,43,60,78,95,113,130,148,165,182,199,215,232,248,265,282,298,315,331,348,365,381,398,414,431,448,464,481,497,506,514,522,530,539
pidgeotto,15,48,80,113,146,179,211,244,277,310,341,372,403,434,465,496,527,558,589,620,651,682,713,744,775,806,837,868,899,930,946,961,977,992,1008
pidgeot,28,88,148,208,269,329,389,449,509,570,627,684,740,797,854,911,968,1025,1082,1139,1196,1253,1310,1367,1424,1481,1538,1595,1652,1709,1738,1766,1795,1823,1852
rattata,10,26,43,61,79,97,114,132,150,168,184,201,218,235,252,269,285,302,319,336,353,369,386,403,420,437,453,470,487,504,512,521,529,538,546
raticate,21,68,115,162,209,255,302,349,396,442,487,531,575,619,664,708,752,796,841,885,929,974,1018,1062,1106,1151,1195,1239,1284,1328,1350,1372,1394,1416,1439
spearow,10,29,50,70,90,111,131,151,172,192,211,231,250,269,288,308,327,346,365,385,404,423,442,462,481,500,519,539,558,577,587,596,606,616,625
fearow,25,80,135,189,244,299,354,409,463,518,570,622,674,725,777,829,881,933,985,1036,1088,1140,1192,1244,1296,1348,1399,1451,1503,1555,1581,1607,1633,1659,1685
ekans,11,34,58,81,105,128,152,175,199,222,244,266,289,311,333,355,378,400,422,444,467,489,511,533,556,578,600,622,645,667,678,689,700,711,722
arbok,24,77,129,181,234,286,339,391,444,496,546,595,645,694,744,794,843,893,943,992,1042,1091,1141,1191,1240,1290,1340,1389,1439,1489,1513,1538,1563,1588,1613
pikachu,11,34,58,82,106,130,153,177,201,225,247,270,292,315,337,360,382,405,427,450,472,495,517,540,562,585,607,630,652,675,686,697,708,720,731
raichu,28,89,150,212,273,334,395,456,517,578,636,694,752,810,867,925,983,1041,1099,1157,1215,1272,1330,1388,1446,1504,1562,1620,1678,1735,1764,1793,1822,1851,1880
sandshrew,16,52,89,125,161,197,233,269,305,341,375,409,443,477,512,546,580,614,648,682,716,750,785,819,853,887,921,955,989,1023,1041,1058,1075,1092,1109
sandslash,32,103,173,243,314,384,454,524,595,665,731,798,864,931,997,1064,1130,1197,1263,1330,1396,1463,1529,1596,1663,1729,1796,1862,1929,1995,2028,2062,2095,2128,2161
nidoranf,10,32,54,77,99,121,143,165,188,210,231,252,273,294,315,336,357,378,399,420,441,462,483,504,525,547,568,589,610,631,641,652,662,673,683
nidorina,17,54,90,127,164,201,237,274,311,348,383,417,452,487,522,557,592,626,661,696,731,766,800,835,870,905,940,975,1009,1044,1062,1079,1096,1114,1131
